Source,Target,Weight
M256970,M197781,0.851
M256970,M95074,0.741
M256970,M197577,0.903
M256970,M124766,0.909
M256970,M188096,0.735
M256970,M96787,0.703
M256970,M257014,0.945
M256970,M256968,0.737
M256970,M197432,0.852
M256970,M197405,0.688
M256970,M257128,0.688
M256970,M125204,0.67
M256970,M197498,0.798
M256970,M197404,0.688
M256970,M197525,0.659
M256970,M257049,0.652
M256970,M256809,0.716
M256970,M257084,0.798
M256970,M91636,0.783
M256970,M230085,0.799
M256970,M257011,0.959
M256970,M197402,0.68
M256970,M197646,0.729
M256970,M251874,0.767
M256970,M257727,0.782
M256970,M257001,0.81
M256970,M124836,0.794
M256970,M197721,0.808
M256970,M197401,0.863
M256970,M96940,0.992
M256970,M129073,0.889
M256970,M202073,0.775
M256970,M257124,0.784
M256970,M256979,0.745
M256970,M257301,0.809
M256970,M257257,0.926
M256970,M256999,0.81
M256970,M257046,0.654
M256970,M197778,0.744
M256970,M219652,0.611
M256970,M256937,0.813
M256970,M197769,0.958
M256970,M257057,0.916
M256970,M257020,0.939
M256970,M22858,0.91
M256970,M257026,0.648
M256970,M197392,0.794
M256970,M38542,0.799
M256970,M257037,0.927
M256970,M197500,0.603
M256970,M124893,0.668
M256970,M256993,0.802
M256970,M125670,0.605
M256970,M125027,0.686
M256970,M197497,0.826
M256970,M197870,0.704
M256970,M197445,0.85
M256970,M257003,0.845
M256970,M257061,0.904
M256970,M198084,0.893
M256970,M1917,0.741
M256970,M256965,0.722
M256970,M97399,0.693
M256970,M256814,0.471
M256970,M256839,0.923
M256970,M257051,0.656
M256970,M257088,0.802
M256970,M191693,0.906
M256970,M197391,0.798
M256970,M257437,0.704
M256970,M197400,0.893
M256970,M197463,0.896
M256970,M28122,0.693
M256970,M193292,0.633
M256970,M197523,0.683
M256970,M197770,0.957
M256970,M112744,0.777
M256970,M256880,0.657
M256970,M119652,0.802
M256970,M256990,0.722
M256970,M257044,0.697
M256970,M257031,0.651
M256970,M247735,0.8
M256970,M197557,0.901
M256970,M96681,0.804
M256970,M256829,0.786
M256970,M257032,0.674
M256970,M256994,0.808
M256970,M197449,0.706
M256970,M197772,0.699
M256970,M197398,0.695
M256970,M28219,0.729
M256970,M197448,0.695
M256970,M256885,0.799
M256970,M197429,0.732
M256970,M218347,0.775
M256970,M257078,0.739
M256970,M197782,0.772
M256970,M124802,0.738
M256970,M124808,0.729
M256970,M96711,0.909
M256970,M256903,0.768
M256970,M197421,0.795
M256970,M107212,0.698
M256970,M257013,0.949
M256970,M106936,0.701
M256970,M135511,0.909
M256970,M197503,0.601
M256970,M257033,0.701
M256970,M204419,0.911
M256970,M124807,0.72
M256970,M197591,0.796
M256970,M257079,0.811
M256970,M96668,0.749
M256970,M256938,0.811
M256970,M197490,0.657
M256970,M125104,0.492
M256970,M97968,0.713
M256970,M256910,0.375
M256970,M86793,0.704
M256970,M86057,0.639
M256970,M28400,0.654
M256970,M97236,0.608
M256970,M197447,0.842
M256970,M256830,0.806
M256970,M197514,0.67
M256970,M24942,0.468
M256970,M96998,0.787
M256970,M256887,0.785
M256970,M197462,0.695
M256970,M28617,0.73
M256970,M256977,0.753
M256970,M1927,0.742
M256970,M127766,0.503
M256970,M197412,0.75
M256970,M96812,0.772
M256970,M197435,0.804
M256970,M28223,0.731
M256970,M257071,0.814
M256970,M237465,0.798
M256970,M130100,0.931
M256970,M96761,0.737
M256970,M37324,0.692
M256970,M197439,0.72
M256970,M257028,0.627
M256970,M197719,0.788
M256970,M256889,0.796
M256970,M96675,0.692
M256970,M197395,0.692
M256970,M236053,0.372
M256970,M1294,0.697
M256970,M124713,0.603
M256970,M188945,0.749
M256970,M256978,0.723
M256970,M206158,0.783
M256970,M197606,0.653
M256970,M256950,0.725
M256970,M197417,0.501
M256970,M5729,0.794
M256970,M197573,0.706
M256970,M197679,0.657
M256970,M257027,0.677
M256970,M256946,0.655
M256970,M256995,0.638
M256970,M28419,0.766
M256970,M257015,0.504
M256970,M124866,0.936
M256970,M256971,0.767
M256970,M28298,0.81
M256970,M197533,0.368
M256970,M257087,0.811
M256970,M197800,0.815
M256970,M257296,0.747
M256970,M197589,0.89
M256970,M202036,0.679
M256970,M257065,0.762
M256970,M256845,0.01
M256970,M197529,0.367
M256970,M96725,0.687
M256970,M256936,0.632
M256970,M197652,0.707
M256970,M256935,0.801
M256970,M204418,0.76
M256970,M256833,0.693
M256970,M257160,0.741
M256970,M198073,0.922
M256970,M257041,0.67
M256970,M257092,0.496
M256970,M233862,0.711
M256970,M256908,0.783
M256970,M257108,0.784
M256970,M197492,0.643
M256970,M4289,0.74
M256970,M197581,0.903
M256970,M2341,0.752
M256970,M256811,0.023
M256970,M256840,0.716
M256970,M197818,0.819
M256970,M256915,0.615
M256970,M256983,0.288
M256970,M257110,0.922
M256970,M256869,0.898
M256970,M197464,0.698
M256970,M112748,0.771
M256970,M96752,0.706
M256970,M256890,0.312
M256970,M257259,0.927
